antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Congestion=Severe, Weather=Normal","DayType=Weekday, Time=Morning",0.17998767714109673,0.1768576709796673,0.06743068391866913,0.37464055867451734,2.118316704043832,1.0,0.03559848253445446,1.3162707310784958,0.6438038095358618,0.23298986630332966,0.24027787263746045,0.3779557308422754
"Congestion=High, Time=Afternoon",DayType=Weekend,0.10094886013555145,0.2857917436845348,0.0596426370918053,0.5908203125,2.0673106398488703,1.0,0.030792286330699824,1.7454636144798006,0.5742496022278413,0.18233875828812537,0.42708631007583076,0.3997564825694205
DayType=Weekend,"Congestion=High, Time=Afternoon",0.2857917436845348,0.10094886013555145,0.0596426370918053,0.208692652638841,2.0673106398488703,1.0,0.030792286330699824,1.136159221650844,0.7228700520952903,0.18233875828812537,0.11984167276572749,0.3997564825694205
Time=Morning,"Congestion=High, DayType=Weekday",0.24781269254467037,0.14925446703635242,0.06523721503388787,0.2632521133764297,1.763780465694953,1.0,0.028250063683289625,1.1547308766130502,0.5757023703482912,0.19659833630421866,0.13399734929310336,0.35016964981899423
"Congestion=High, DayType=Weekday",Time=Morning,0.14925446703635242,0.24781269254467037,0.06523721503388787,0.43708718626155885,1.7637804656949527,1.0,0.028250063683289625,1.3362412243911634,0.5090076868689664,0.19659833630421866,0.2516321291796445,0.35016964981899423
"Congestion=Severe, DayType=Weekday",Time=Morning,0.24120764017252003,0.24781269254467037,0.10481823783117683,0.43455604373148055,1.753566531517138,1.0,0.045043923057678646,1.33025969968654,0.5663389148749054,0.27282057861312464,0.2482670863173271,0.42876484434212014
Time=Morning,"Congestion=Severe, DayType=Weekday",0.24781269254467037,0.24120764017252003,0.10481823783117683,0.4229736449527598,1.7535665315171378,1.0,0.045043923057678646,1.315004684258068,0.5713120088849472,0.27282057861312464,0.23954643510322948,0.42876484434212014
Time=Morning,Congestion=Severe,0.24781269254467037,0.24995686999383857,0.10563154651879236,0.42625559423172554,1.7053165781849995,1.0,0.0436890615455811,1.3072774609485098,0.5498612019137562,0.2693733894789768,0.23505144862327948,0.42442734355640704
Congestion=Severe,Time=Morning,0.24995686999383857,0.24781269254467037,0.10563154651879236,0.42259909288108854,1.7053165781849993,1.0,0.0436890615455811,1.3027123757192542,0.5514331115042171,0.2693733894789768,0.23237084513925846,0.42442734355640704
"Time=Morning, Weather=Normal","Congestion=Severe, DayType=Weekday",0.16426370918052988,0.24120764017252003,0.06743068391866913,0.4105026256564141,1.7018641091252684,1.0,0.027809022261248408,1.2871853087936254,0.49346788497588223,0.1994750656167979,0.22311108340941282,0.3450285683712744
"Congestion=Severe, DayType=Weekday","Time=Morning, Weather=Normal",0.24120764017252003,0.16426370918052988,0.06743068391866913,0.27955451108613466,1.7018641091252684,1.0,0.027809022261248408,1.1600270994539998,0.5435070800159856,0.1994750656167979,0.13795117332114168,0.3450285683712744
"Time=Morning, Weather=Normal",Congestion=Severe,0.16426370918052988,0.24995686999383857,0.06802218114602587,0.41410352588147037,1.6566999174364683,1.0,0.02696333854568246,1.2801632423792741,0.47430079195141445,0.1964832348544173,0.21884962253608453,0.34311959965933114
Congestion=Severe,"Time=Morning, Weather=Normal",0.24995686999383857,0.16426370918052988,0.06802218114602587,0.27213567343719186,1.656699917436468,1.0,0.02696333854568246,1.1482033949459585,0.5284901210880447,0.1964832348544173,0.1290741654294916,0.34311959965933114
